"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"51.0","566","64","154","112895","hard",1.81291335664286
"54.0","370","143","173","385725","hard",2.15836249209525
"57.0","335","38","182","113300","hard",1.5910646070265
"60.0","224","18","120","80352","hard",1.27875360095283
"63.0","449","22","108","48940","hard",1.36172783601759
"66.0","229","12","157","52266","hard",1.11394335230684
"69.0","273","11","117","40283","hard",1.07918124604762
"12","0","0","180","15597","heavy",0
"15.0","477","16","87","33500","heavy",1.23044892137827
"18.0","165","14","243","84684","heavy",1.17609125905568
"21.0","133","22","297","164518","heavy",1.36172783601759
"24.0","168","48","456","284427","heavy",1.69019608002851
"27.0","181","73","616","402831","heavy",1.86923171973098
"30.0","182","74","486","406497","heavy",1.8750612633917
"33.0","123","41","361","332325","heavy",1.6232492903979
"36.0","123","30","250","242145","heavy",1.49136169383427
"39.0","63","12","236","189088","heavy",1.11394335230684
"42.0","108","17","215","156791","heavy",1.25527250510331
"45.0","76","12","249","156558","heavy",1.11394335230684
"48.0","85","12","221","140589","heavy",1.11394335230684
"51.0","124","14","154","112895","heavy",1.17609125905568
"54.0","62","24","173","385725","heavy",1.39794000867204
"57.0","79","9","182","113300","heavy",1
"60.0","37","3","120","80352","heavy",0.602059991327962
"63.0","245","12","108","48940","heavy",1.11394335230684
"66.0","114","6","157","52266","heavy",0.845098040014257
"69.0","173","7","117","40283","heavy",0.903089986991944
"12","0","0","180","15597","high",0
"15.0","29","1","87","33500","high",0.301029995663981
"18.0","247","21","243","84684","high",1.34242268082221
"21.0","200","33","297","164518","high",1.53147891704226
"24.0","158","45","456","284427","high",1.66275783168157
"27.0","171","69","616","402831","high",1.84509804001426
"30.0","132","54","486","406497","high",1.74036268949424
"33.0","114","38","361","332325","high",1.5910646070265
"36.0","181","44","250","242145","high",1.65321251377534
"39.0","132","25","236","189088","high",1.41497334797082
"42.0","140","22","215","156791","high",1.36172783601759
"45.0","146","23","249","156558","high",1.38021124171161
"48.0","184","26","221","140589","high",1.43136376415899
"51.0","115","13","154","112895","high",1.14612803567824
"54.0","171","66","173","385725","high",1.82607480270083
"57.0","114","13","182","113300","high",1.14612803567824
"60.0","136","11","120","80352","high",1.07918124604762
"63.0","204","10","108","48940","high",1.04139268515823
"66.0","95","5","157","52266","high",0.778151250383644
"69.0","124","5","117","40283","high",0.778151250383644
"12","1025","16","180","15597","hot",1.23044892137827
"15.0","358","12","87","33500","hot",1.11394335230684
"18.0","637","54","243","84684","hot",1.74036268949424
"21.0","923","152","297","164518","hot",2.1846914308176
"24.0","819","233","456","284427","hot",2.36921585741014
"27.0","583","235","616","402831","hot",2.37291200297011
"30.0","538","219","486","406497","hot",2.34242268082221
"33.0","430","143","361","332325","hot",2.15836249209525
"36.0","384","93","250","242145","hot",1.9731278535997
"39.0","438","83","236","189088","hot",1.92427928606188
"42.0","338","53","215","156791","hot",1.73239375982297
"45.0","542","85","249","156558","hot",1.93449845124357
"48.0","490","69","221","140589","hot",1.84509804001426
"51.0","221","25","154","112895","hot",1.41497334797082
"54.0","394","152","173","385725","hot",2.1846914308176
"57.0","344","39","182","113300","hot",1.60205999132796
"60.0","298","24","120","80352","hot",1.39794000867204
"63.0","510","25","108","48940","hot",1.41497334797082
"66.0","688","36","157","52266","hot",1.56820172406699
"69.0","397","16","117","40283","hot",1.23044892137827
"12","64","1","180","15597","hungry",0.301029995663981
"15.0","89","3","87","33500","hungry",0.602059991327962
"18.0","106","9","243","84684","hungry",1
"21.0","413","68","297","164518","hungry",1.83884909073726
"24.0","137","39","456","284427","hungry",1.60205999132796
"27.0","218","88","616","402831","hungry",1.94939000664491
"30.0","177","72","486","406497","hungry",1.86332286012046
"33.0","213","71","361","332325","hungry",1.85733249643127
"36.0","173","42","250","242145","hungry",1.63346845557959
"39.0","95","18","236","189088","hungry",1.27875360095283
"42.0","318","50","215","156791","hungry",1.70757017609794
"45.0","281","44","249","156558","hungry",1.65321251377534
"48.0","327","46","221","140589","hungry",1.67209785793572
"51.0","380","43","154","112895","hungry",1.64345267648619
"54.0","134","52","173","385725","hungry",1.72427586960079
"57.0","326","37","182","113300","hungry",1.57978359661681
"60.0","236","19","120","80352","hungry",1.30102999566398
"63.0","796","39","108","48940","hungry",1.60205999132796
"66.0","1205","63","157","52266","hungry",1.80617997398389
"69.0","1985","80","117","40283","hungry",1.90848501887865
"12","0","0","180","15597","hurt",0
"15.0","0","0","87","33500","hurt",0
"18.0","259","22","243","84684","hurt",1.36172783601759
"21.0","230","38","297","164518","hurt",1.5910646070265
"24.0","372","106","456","284427","hurt",2.02938377768521
"27.0","350","141","616","402831","hurt",2.15228834438306
"30.0","514","209","486","406497","hurt",2.32221929473392
"33.0","442","147","361","332325","hurt",2.17026171539496
"36.0","437","106","250","242145","hurt",2.02938377768521
"39.0","396","75","236","189088","hurt",1.88081359228079
"42.0","465","73","215","156791","hurt",1.86923171973098
"45.0","383","60","249","156558","hurt",1.78532983501077
"48.0","362","51","221","140589","hurt",1.7160033436348
"51.0","168","19","154","112895","hurt",1.30102999566398
"54.0","482","186","173","385725","hurt",2.2718416065365
"57.0","141","16","182","113300","hurt",1.23044892137827
"60.0","298","24","120","80352","hurt",1.39794000867204
"63.0","163","8","108","48940","hurt",0.954242509439325
"66.0","382","20","157","52266","hurt",1.32221929473392
"69.0","273","11","117","40283","hurt",1.07918124604762
"12","0","0","180","15597","last",0
"15.0","0","0","87","33500","last",0
"18.0","47","4","243","84684","last",0.698970004336019
